id,palavra,traducao,pronuncia
1076,flat,plano,""
1077,flavor,sabor,"/ˈfleɪvə/"
1078,flee,fugir,""
1079,flesh,carne,"/flɛʃ/"
1080,flight,voo,""
1081,float,flutuar,"/fləʊt/"
1082,floor,"chão","/flɔː/"
1083,flow,fluxo,"/fləʊ/"
1084,flower,flor,"/ˈflaʊ.ə/"
1085,fly,voar,"/flaɪ/"
1086,focus,foco,"/ˈfəʊ.kəs/"
1087,folk,pessoas,"/fəʊk/"
1088,follow,seguir,"/ˈfɒləʊ/"
1089,following,seguintes,"/ˈfɒləʊɪŋ/"
1090,food,alimentos,"/fuːd/"
1091,foot,"pé","[fʊt̚]"
1092,football,futebol,"[fʷʊʔt̚bɑɫ]"
1093,for,para,""
1094,force,"força","/fɔːs/"
1095,foreign,estrangeiro,""
1096,forest,floresta,""
1097,forever,"para sempre",""
1098,forget,esquecer,""
1099,form,forma,""
1100,formal,formal,"/ˈfɔːməl/"
1101,formation,"formação",""
1102,former,anterior,""
1103,formula,"fórmula",""
1104,forth,adiante,""
1105,fortune,fortuna,""
1106,forward,"avançar",""
1107,found,encontrado,""
1108,foundation,"fundação",""
1109,founder,fundador,""
1110,four,quatro,""
1111,fourth,quarto,""
1112,frame,moldura,""
1113,framework,enquadramento,""
1114,free,livre,""
1115,freedom,liberdade,""
1116,freeze,congelar,""
1117,French,"francês",""
1118,frequency,"frequência",""
1119,frequent,frequentes,""
1120,frequently,frequentemente,""
1121,fresh,fresco,""
1122,friend,amigo,""
1123,friendly,"amigável",""
1124,friendship,amizade,""
1125,from,de,""
1126,front,front,""
1127,fruit,fruta,""
1128,frustration,"frustração",""
1129,fuel,"combustível",""
1130,full,completo,""
1131,fully,totalmente,""
1132,fun,"diversão",""
1133,function,"função",""
1134,fund,fundo,""
1135,fundamental,fundamental,""
1136,funding,financiamento,""
1137,funeral,funeral,""
1138,funny,"engraçado",""
1139,furniture,"mobiliário",""
1140,furthermore,"além disso",""
1141,future,futuro,""
1142,gain,ganho,""
1143,galaxy,"galáxia",""
1144,gallery,galeria,""
1145,game,jogo,""
1146,gang,corredor,""
1147,gap,lacuna,""
1148,garage,garagem,""
1149,garden,jardim,""
1150,garlic,alho,""
1151,gas,"gás",""
1152,gate,"portão",""
1153,gather,reunir,""
1154,gay,homossexual,""
1155,gaze,olhar,""
1156,gear,equipamento,""
1157,gender,"género",""
1158,gene,gene,""
1159,general,geral,""
1160,generally,geralmente,""
1161,generate,gerar,""
1162,generation,"geração",""
1163,genetic,"genético",""
1164,gentleman,cavalheiro,""
1165,gently,suavemente,""
1166,German,"alemão",""
1167,gesture,gesto,""
1168,get,obter,""
1169,ghost,fantasma,""
1170,giant,gigante,""
1171,gift,presente,""
1172,gifted,dotados,""
1173,girl,rapariga,""
1174,girlfriend,namorada,""
1175,give,dar,""
1176,given,dado,""
1177,glad,feliz,""
1178,glance,olhar,""
1179,glass,vidro,""
1180,global,global,""
1181,glove,luva,""
1182,go,ir,""
1183,goal,objetivo,""
1184,God,Deus,""
1185,gold,ouro,""
1186,golden,dourado,""
1187,golf,golfe,""
1188,good,bom,""
1189,government,governo,""
1190,governor,governador,""
1191,grab,agarrar,""
1192,grade,grau,""
1193,gradually,gradualmente,""
1194,graduate,graduado,""
1195,grain,"grãos",""
1196,grand,grande,""
1197,grandfather,"avô",""
1198,grandmother,"avó",""
1199,grant,"subvenção",""
1200,grass,relva,""
1201,grave,sepultura,""
1202,gray,cinzento,""
1203,great,"ótimo",""
1204,greatest,maior,""
1205,green,verde,""
1206,grocery,mercearia,""
1207,ground,"chão",""
1208,group,grupo,""
1209,grow,crescer,""
1210,growing,crescente,""
1211,growth,crescimento,""
1212,guarantee,garantia,""
1213,guard,guarda,""
1214,guess,guess,""
1215,guest,guest,""
1216,guide,guia,""
1217,guideline,diretriz,""
1218,guilty,culpado,""
1219,gun,arma,""
1220,guy,homem,""
1221,habit,habit,"/ˈhæbət/"
1222,habitat,habitat,"/ˈhæbɪtæt/"
1223,hair,cabelo,"/heː/"
1224,half,metade,"/hɑːf/"
1225,hall,"salão","/hɔːl/"
1226,hand,"mão","/hænd/"
1227,handful,"mão cheia","/ˈhæn(d)fəl/"
1228,handle,loja,"/ˈhæn.dl/"
1229,hang,pendurar,"[heɪŋ]"
1230,happen,picadas,"/ˈhæpən/"
1231,happy,feliz,"/ˈhæpiː/"
1232,hard,duro,"/hɑːd/"
1233,hardly,dificilmente,"/ˈhɑːdli/"
1234,hat,"chapéu",[hat]
1235,hate,"ódio","/heɪt/"
1236,have,ter,"pronunciation not found"
1237,he,ele,/hi/
1238,head,"cabeça","/hɛd/"
1239,headline,"título","/ˈhɛd.laɪn/"
1240,headquarters,sede,"/ˌhɛd.ˈkwɔː.təz/"
1241,health,"saúde","/hɛlθ/"
1242,healthy,"saudável","/ˈhɛl.θi/"
1243,hear,ouvir,"/hɪə(ɹ)/"
1244,hearing,"audição",""
1245,heart,"coração",""
1246,heat,calor,/hit/
1247,heaven,"céu","/hɛvn/"
1248,heavily,fortemente,"/ˈhɛvɪli/"
1249,heavy,pesado,"/ˈhe.vi/"
1250,heel,muito,""
1251,height,altura,""
1252,helicopter,"helicóptero",""
1253,hell,inferno,""
1254,hello,"Olá",""
1255,help,ajuda,""
1256,helpful,"útil",""
1257,her,ela,""
1258,here,aqui,""
1259,heritage,"património",""
1260,hero,"herói",""
1261,herself,"ela própria",""
1262,hey,ei,""
1263,hi,oi,""
1264,hide,esconder,""
1265,high,elevado,""
1266,highlight,destaque,""
1267,highly,altamente,""
1268,highway,autoestrada,""
1269,hill,colina,""
1270,him,ele,""
1271,himself,"ele próprio",""
1272,hip,anca,""
1273,hire,aluguer,""
1274,his,seu,""
1275,historian,historiador,""
1276,historic,"histórico",""
1277,historical,"histórico",""
1278,history,"história",""
1279,hit,atingido,""
1280,hold,manter,""
1281,hole,buraco,""
1282,holiday,"férias",""
1283,holy,sagrado,""
1284,home,casa,""
1285,homeless,sem-abrigo,""
1286,honest,honesto,""
1287,honey,mel,""
1288,honor,honra,""
1289,hope,"esperança",""
1290,horizon,horizonte,""
1291,horror,horror,""
1292,horse,cavalo,""
1293,hospital,hospitalar,""
1294,host,hospedeiro,""
1295,hot,quente,""
1296,hotel,hotel,""
1297,hour,hora,""
1298,house,casa,""
1299,household,"família",""
1300,housing,"habitação",""
1301,how,como,""
1302,however,"no entanto",""
1303,huge,enorme,""
1304,human,humano,""
1305,humor,humor,""
1306,hundred,cem,""
1307,hungry,faminto,""
1308,hunter,"caçador",""
1309,hunting,"caça",""
1310,hurt,ferir,""
1311,husband,marido,""
1312,hypothesis,"hipótese",""
1313,I,I,""
1314,ice,gelo,""
1315,idea,ideia,""
1316,ideal,ideal,""
1317,identification,"identificação",""
1318,identify,identificar,""
1319,identity,identidade,""
1320,ie,"ou seja",""
1321,if,se,""
1322,ignore,ignorar,""
1323,ill,doente,""
1324,illegal,ilegal,""
1325,illness,"doença",""
1326,illustrate,ilustrar,""
1327,image,imagem,""
1328,imagination,"imaginação",""
1329,imagine,imaginar,""
1330,immediate,imediato,""
1331,immediately,imediatamente,""
1332,immigrant,imigrante,""
1333,immigration,"imigração",""
1334,impact,impacto,""
1335,implement,implementar,""
1336,implication,"implicação",""
1337,imply,implicar,""
1338,importance,"importância",""
1339,important,important,""
1340,impose,impor,""
1341,impossible,"impossível",""
1342,impress,impressionar,""
1343,impression,"impressões",""
1344,impressive,impressionante,""
1345,improve,melhorar,""
1346,improvement,melhoria,""
1347,in,em,""
1348,incentive,incentivo,""
1349,incident,incidente,""
1350,include,incluir,""
1351,including,incluindo,""
1352,income,rendimento,""
1353,incorporate,incorporar,""
1354,increase,aumentar,""
1355,increased,aumentado,""
1356,increasing,crescente,""
1357,increasingly,"cada vez mais",""
1358,incredible,"incrível",""
1359,indeed,"de facto",""
1360,independence,"independência",""
1361,independent,independente,""
1362,index,"índice",""
1363,Indian,Indiano,""
1364,indicate,indicado,""
1365,indication,"indicação",""
1366,individual,individual,""
1367,industrial,industrial,""
1368,industry,setorial,""
1369,infant,infantil,""
1370,infection,"infeção",""
1371,inflation,"inflação",""
1372,influence,"influência",""
1373,inform,informar,""
1374,information,"informação",""
1375,ingredient,ingrediente,""
1376,initial,inicial,""
1377,initially,inicialmente,""
1378,initiative,iniciativa,""
1379,injury,"lesão",""
1380,inner,interior,""
1381,innocent,inocente,""
1382,inquiry,"inquérito",""
1383,inside,"no interior",""
1384,insight,"visão",""
1385,insist,insistir,""
1386,inspire,inspirar,""
1387,install,instalar,""
1388,instance,"instância",""
1389,instead,"em vez disso",""
1390,institution,"instituição",""
1391,institutional,institucional,""
1392,instruction,"instrução",""
1393,instructor,instrutor,"pronunciation not found"
1394,instrument,instrumento,"/ˈɪnstɹəmənt/"
1395,insurance,seguro,"/ɪn.ˈʃɔː.ɹəns/"
1396,intellectual,intelectual,""
1397,intelligence,"inteligência","/ɪnˈtɛl.ɪ.d͡ʒəns/"
1398,intend,pretender,""
1399,intense,intenso,"/ɪnˈtɛns/"
1400,intensity,intensidade,"/ɪnˈtɛnsɪti/"
1401,intention,"intenção","/ɪnˈtɛnʃən/"
1402,interaction,"interação","/ˌɪntəɹˈækʃən/"
1403,interest,interesse,"/ˈɪntəɹɪst/"
1404,interested,interessado,"/ˈɪntəɹɛstəd/"
1405,interesting,interessante,"/ˈɪnt(ə)ɹɛstɪŋ/"
1406,internal,interno,"/ɪnˈtɝnəl/"
1407,international,internacional,"/ˌɪntəˈnæʃ(ə)n(ə)l/"
1408,Internet,Internet,"/ˈɪntəˌnɛt/"
1409,interpret,interpretar,"/ɪnˈtɜː.pɹɪt/"
1410,interpretation,"interpretação","/ɪntəpɹəˈteɪʃən/"
1411,intervention,"intervenção","/ɪntəˈvɛnʃən/"
1412,interview,entrevista,"/ˈɪntəvjuː/"
1413,into,em,"/ˈɪn.tuː/"
1414,introduce,introduzir,"/ˌɪntɹəˈdjuːs/"
1415,introduction,"introdução","/ˌɪntɹəˈdʌkʃən/"
1416,invasion,"invasão","/ɪnˈveɪʒən/"
1417,invest,investir,"/ɪnˈvɛst/"
1418,investigate,investigar,"[ɪn.ˈves.tɪ.ɡeɪ̯t]"
1419,investigation,"investigação","/ɪnˌvɛstəˈɡeɪʃən/"
1420,investigator,investigador,"pronunciation not found"
1421,investment,investimento,""
1422,investor,investidor,""
1423,invite,"rápido",""
1424,involve,envolver,""
1425,involved,envolvidos,""
1426,involvement,envolvimento,""
1427,Iraqi,iraquiano,""
1428,Irish,"Irlandês",""
1429,iron,ferro,""
1430,Islamic,"islâmico",""
1431,island,ilha,""
1432,Israeli,Israelita,""
1433,issue,"questão",""
1434,it,ele,""
1435,Italian,italiano,""
1436,item,item,""
1437,its,seu,""
1438,itself,"em si",""
1439,jacket,casaco,""
1440,jail,correio,""
1441,Japanese,"Japonês",""
1442,jet,jato,""
1443,Jew,Judeu,""
1444,Jewish,Judeu,""
1445,job,trabalho,""
1446,join,juntar-se,""
1447,joint,conjunta,""
1448,joke,piada,""
1449,journal,jornal,""
1450,journalist,jornalista,""
1451,journey,viagem,""
1452,joy,alegria,""
1453,judge,juiz,""
1454,judgment,julgamento,""
1455,juice,sumo,""
1456,jump,saltar,""
1457,junior,"júnior",""
1458,jury,"júri",""
1459,just,apenas,""
1460,justice,"justiça",""
1461,justify,justificar,""
1462,keep,manter,""
1463,key,chave,""
1464,kick,"pontapé",""
1465,kid,"miúdo",""
1466,kill,matar,""
1467,killer,assassino,""
1468,killing,"matança",""
1469,kind,gentil,""
1470,king,rei,""
1471,kiss,beijo,""
1472,kitchen,cozinha,""
1473,knee,joelho,""
1474,knife,faca,""
1475,knock,bater,""
1476,know,saber,""
1477,knowledge,conhecimento,""
1478,lab,"laboratório",""
1479,label,etiqueta,""
1480,labor,trabalho,""
1481,laboratory,"laboratório",""
1482,lack,falta,""
1483,lady,"balcões",""
1484,lake,lago,""
1485,land,terra,""
1486,landscape,paisagem,""
1487,language,"língua",""
1488,lap,volta,""
1489,large,grande,""
1490,largely,"em grande parte",""
1491,last,"último",""
1492,late,tardio,""
1493,later,"mais tarde",""
1494,Latin,Latina,""
1495,latter,risos,""
1496,laugh,rir,""
1497,launch,"lançamento",""
1498,law,lei,""
1499,lawn,relvado,""
1500,lawsuit,"ação judicial",""
1501,lawyer,advogado,""
1502,lay,deitar,""
1503,layer,camada,""
1504,lead,chumbo,""
1505,leader,"líder",""
1506,leadership,"liderança",""
1507,leading,principal,""
1508,leaf,folha,""
1509,league,liga,""
1510,lean,magra,""
1511,learn,aprender,""
1512,learning,aprendizagem,""
1513,least,menos,""
1514,leather,couro,""
1515,leave,sair,""
1516,left,esquerda,""
1517,leg,perna,""
1518,legacy,legado,""
1519,legal,legal,""
1520,legend,lenda,""
1521,legislation,"legislação",""
1522,legitimate,"legítimo",""
1523,lemon,"limão",""
1524,length,comprimento,""
1525,less,menos,""
1526,lesson,"lição",""
1527,let,deixar,""
1528,letter,carta,""
1529,level,"nível",""
1530,liberal,liberal,""
1531,library,biblioteca,""
1532,license,"licença",""
1533,lie,mentira,""
1534,life,vida,""
1535,lifestyle,"estilo de vida",""
1536,lifetime,"vida útil",""
1537,lift,elevador,""
1538,light,luz,""
1539,like,como,""
1540,likely,"provável",""
1541,limit,limite,""
1542,limitation,"limitação",""
1543,limited,limitado,""
1544,line,linha,""
1545,link,"ligação",""
1546,lip,"lábio",""
1547,list,lista,""
1548,listen,ouvir,""
1549,literally,literalmente,""
1550,literary,"literário",""
1551,literature,literatura,""
1552,little,pouco,""
1553,live,viver,""
1554,living,viver,""
1555,load,carga,""
1556,loan,"empréstimo",""
1557,local,local,""
1558,locate,localizar,""
1559,location,"localização",""
1560,lock,fechadura,""
1561,long,longo,""
1562,long-term,"a longo prazo",""
1563,look,olhar,""
1564,loose,solto,""
1565,lose,perder,""
1566,loss,perda,""
1567,lost,perdido,""
1568,lot,lote,""
1569,lots,lotes,""
1570,loud,alto,""
1571,love,amor,""
1572,lovely,"adorável",""
1573,lover,amante,""
1574,low,baixo,""
1575,lower,inferior,""
1576,luck,sorte,""
1577,lucky,sortudo,""
1578,lunch,"almoço",""
1579,lung,"solução",""
1580,machine,"máquina",""
1581,mad,louco,""
1582,magazine,revista,""
1583,mail,correio,""
1584,main,principal,""
1585,mainly,principalmente,""
1586,maintain,manter,""
1587,maintenance,"manutenção",""
1588,major,importante,""
1589,majority,"maioritário",""
1590,make,fazer,""
1591,maker,fabricante,""
1592,makeup,maquilhagem,""
1593,male,masculino,""
1594,mall,"centro comercial",""
1595,man,homem,""
1596,manage,gerir,""
1597,management,"gestão",""
1598,manager,gestor,""
1599,manner,forma,""
1600,manufacturer,fabricante,""
1601,manufacturing,fabrico,""
1602,many,muitos,""
1603,map,mapa,""
1604,margin,margem,""
1605,mark,marca,""
1606,market,mercado,""
1607,marketing,marketing,""
1608,marriage,casamento,""
1609,married,casado,""
1610,marry,casar,""
1611,mask,"máscara","/mæsk/"
1612,mass,massa,"/mæs/"
1613,massive,"maciço","/ˈmæs.ɪv/"
1614,master,mestre,"/ˈmastə/"
1615,match,jogo,"/mæt͡ʃ/"
1616,material,material,"/məˈtɪəɹɪəl/"
1617,math,"matemática","/mɑːθ/"
1618,matter,"matéria","/ˈmætə/"
1619,may,pode,"/meɪ/"
1620,maybe,talvez,"/ˈmeɪbi/"
1621,mayor,mais,"/ˈmeɪ.ə/"
1622,me,eu,"/miː/"
1623,meal,"refeição","/miːl/"
1624,mean,"média","/miːn/"
1625,meaning,significado,"/ˈmiːnɪŋ/"
1626,meanwhile,entretanto,"/ˈmiːnhwaɪl/"
1627,measure,medida,"/ˈmɛʒə/"
1628,measurement,"medição","/ˈmeʒ.ə.mənt/"
1629,meat,carne,"/miːt/"
1630,mechanism,mecanismo,"/ˈmɛkənɪzm/"
1631,media,metade,"/ˈmiːdɪə/"
1632,medical,"médico","/ˈmɛdɪkl̩/"
1633,medication,medicamentos,"/mɛdɪˈkeɪʃən/"
1634,medicine,medicina,"/ˈmed(ɪ).sn̩/"
1635,medium,"médio","/ˈmiːdɪəm/"
1636,meet,conhecer,"/miːt/"
1637,meeting,"reunião","/ˈmiːtɪŋ/"
1638,member,membro,"/ˈmɛmbə/"
1639,membership,"adesão","pronunciation not found"
1640,memory,"memória","/ˈmɛm(ə)ɹi/"
1641,mental,mental,""
1642,mention,"menção",""
1643,menu,menu,""
1644,mere,mais,""
1645,merely,apenas,""
1646,mess,"confusão",""
1647,message,mensagem,""
1648,metal,metal,""
1649,meter,contador,""
1650,method,"método",""
1651,Mexican,Mexicano,""
1652,middle,"médio",""
1653,might,pode,""
1654,military,militar,""
1655,milk,leite,""
1656,million,"milhões",""
1657,mind,mente,""
1658,mine,meu,""
1659,minister,ministro,""
1660,minor,menor,""
1661,minority,"minoritário",""
1662,minute,minuto,""
1663,miracle,milagre,""
1664,mirror,espelho,""
1665,miss,falhar,""
1666,missile,"míssil",""
1667,mission,"missão",""
1668,mistake,erro,""
1669,mix,mistura,""
1670,mixture,mistura,""
1671,mm-hmm,mm-hmm,""
1672,mode,modo,""
1673,model,modelo,""
1674,moderate,moderado,""
1675,modern,moderno,""
1676,modest,modesto,""
1677,mom,"mãe",""
1678,moment,momento,""
1679,money,dinheiro,""
1680,monitor,monitor,""
1681,month,"mês",""
1682,mood,humor,""
1683,moon,lua,""
1684,moral,moral,""
1685,more,mais,""
1686,moreover,"além disso",""
1687,morning,"manhã",""
1688,mortgage,hipoteca,""
1689,most,"a maioria",""
1690,mostly,principalmente,""
1691,mother,"mãe",""
1692,motion,movimento,""
1693,motivation,"motivação",""
1694,motor,motor,""
1695,mount,montar,""
1696,mountain,montanha,""
1697,mouse,rato,""
1698,mouth,boca,""
1699,move,"deslocação",""
1700,movement,movimento,""
1701,movie,filme,""
1702,Mr,Senhor,""
1703,Mrs,Senhora,""
1704,Ms,Senhora,""
1705,much,muito,""
1706,multiple,"múltiplo",""
1707,murder,"homicídio",""
1708,muscle,muscular,""
1709,museum,museu,""
1710,music,"música",""
1711,musical,musical,""
1712,musician,"músico",""
1713,Muslim,"Muçulmano",""
1714,must,deve,""
1715,mutual,"mútuo",""
1716,my,meu,""
1717,myself,eu,""
1718,mystery,"mistério",""
1719,myth,mito,""
1720,naked,nu,""
1721,name,nome,""
1722,narrative,narrativa,""
1723,narrow,estreito,""
1724,nation,"nação",""
1725,national,nacional,""
1726,native,nativo,""
1727,natural,natural,""
1728,naturally,naturalmente,""
1729,nature,natureza,""
1730,near,"próximo",""
1731,nearby,"próximo",""
1732,nearly,quase,""
1733,necessarily,necessariamente,""
1734,necessary,"necessário",""
1735,neck,"pescoço",""
1736,need,necessidade,""
1737,negative,negativo,""
1738,negotiate,negociar,""
1739,negotiation,"negociação",""
1740,neighbor,vizinho,""
1741,neighborhood,bairro,""
1742,neither,nem,""
1743,nerve,nervo,""
1744,nervous,nervoso,""
1745,net,"líquido",""
1746,network,rede,""
1747,never,nunca,""
1748,nevertheless,"no entanto",""
1749,new,novo,""
1750,newly,recentemente,""
1751,news,"notícias",""
1752,newspaper,jornal,""
1753,next,seguinte,""
1754,nice,"agradável",""
1755,night,noite,""
1756,nine,nove,""
1757,no,"não",""
1758,nobody,"ninguém",""
1759,nod,aceno,""
1760,noise,"ruído",""
1761,nomination,"nomeação","pronunciation not found"
1762,none,nenhum,"/nɒn/"
1763,nonetheless,"mesmo assim","/ˌnʌnðəˈlɛs/"
1764,nor,nem,"/nɔː/"
1765,normal,normal,"/ˈnɔːməl/"
1766,normally,normalmente,"pronunciation not found"
1767,north,norte,"/noːθ/"
1768,northern,setentrional,"/ˈnɔːðn̩/"
1769,nose,nariz,"/nəʊz/"
1770,not,"não","/nɒt/"
1771,note,nota,""
1772,nothing,nada,""
1773,notice,aviso,""
1774,notion,"noção",""
1775,novel,romance,""
1776,now,agora,""
1777,nowhere,"em lado nenhum",""
1778,"n't","não",""
1779,nuclear,nuclear,""
1780,number,"número",""
1781,numerous,numerosos,""
1782,nurse,enfermeira,""
1783,nut,noz,""
1784,object,objeto,""
1785,objective,objetivo,""
1786,obligation,"obrigação",""
1787,observation,"observação",""
1788,observe,observar,""
1789,observer,observador,""
1790,obtain,obter,""
1791,obvious,evidente,""
1792,obviously,obviamente,""
1793,occasion,"ocasião",""
1794,occasionally,ocasionalmente,""
1795,occupation,"ocupação",""
1796,occupy,ocupar,""
1797,occur,ocorrer,""
1798,ocean,ocean,""
1799,odd,estranho,""
1800,odds,probabilidades,""
1801,of,de,""
1802,off,desligado,""
1803,offense,"infração",""
1804,offensive,ofensivo,""
1805,offer,oferta,""
1806,office,"escritório",""
1807,officer,"funcionário",""
1808,official,oficial,""
1809,often,frequentemente,""
1810,oh,oh,""
1811,oil,"óleo",""
1812,ok,ok,""
1813,okay,ok,""
1814,old,antigo,""
1815,Olympic,"Olímpico",""
1816,on,sobre,""
1817,once,"uma vez",""
1818,one,um,""
1819,ongoing,"em curso",""
1820,onion,cebola,""
1821,online,"em linha",""
1822,only,apenas,""
1823,onto,para,""
1824,open,aberto,""
1825,opening,abertura,""
1826,operate,operar,""
1827,operating,"de funcionamento",""
1828,operation,funcionamento,""
1829,operator,operador,""
1830,opinion,"opinião",""
1831,opponent,oponente,""
1832,opportunity,oportunidade,""
1833,oppose,opor-se,""
1834,opposite,oposto,""
1835,opposition,"oposição",""
1836,option,"opção",""
1837,or,ou,""
1838,orange,laranja,""
1839,order,ordem,""
1840,ordinary,comum,""
1841,organic,"orgânico",""
1842,organization,"organização",""
1843,organize,organizar,""
1844,orientation,"orientação",""
1845,origin,origem,""
1846,original,original,""
1847,originally,inicialmente,""
1848,other,outros,""
1849,others,outros,""
1850,otherwise,"caso contrário",""
1851,ought,deve,""
1852,our,nosso,""
1853,ourselves,"nós próprios",""
1854,out,fora,""
1855,outcome,resultado,""
1856,outside,"no exterior",""
1857,oven,forno,""
1858,over,sobre,""
1859,overall,global,""
1860,overcome,superado,""
1861,overlook,vista,"/əʊvəˈlʊk/"
1862,owe,dever,"/əʊ/"
1863,own,"próprio","/ˈəʊn/"
1864,owner,"proprietário","/ˈəʊnə/"
1865,pace,ritmo,"/peɪs/"
1866,pack,embalagem,"/pæk/"
1867,package,pacote,"/ˈpækɪdʒ/"
1868,page,"página","/peɪd͡ʒ/"
1869,pain,dor,"/peɪn/"
1870,painful,doloroso,"/ˈpeɪn.fəl/"
1871,paint,pintura,""
1872,painter,pintor,"/ˈpeɪntə/"
1873,painting,pintura,"/ˈpeɪn.tɪŋ/"
1874,pair,par,"/pɛə(ɹ)/"
1875,pale,"lâmina","/peɪl/"
1876,Palestinian,Palestiniana,""
1877,palm,palma,"/ˈpæm/"
1878,pan,panela,"/pæn/"
1879,panel,painel,"/ˈpænəl/"
1880,pant,"calça","/pænt/"
1881,paper,papel,""
1882,parent,pai,""
1883,park,parque,""
1884,parking,estacionamento,""
1885,part,parte,""
1886,participant,participante,""
1887,participate,participar,""
1888,participation,"participação",""
1889,particular,particular,""
1890,particularly,nomeadamente,""
1891,partly,"em parte",""
1892,partner,parceiro,""
1893,partnership,parceria,""
1894,party,festa,""
1895,pass,passar,""
1896,passage,passagem,""
1897,passenger,passageiro,""
1898,passion,"paixão",""
1899,past,passado,""
1900,patch,remendo,""
1901,path,caminho,""
1902,patient,paciente,""
1903,pattern,"padrão",""
1904,pause,pausa,""
1905,pay,pagar,""
1906,payment,pagamento,""
1907,PC,PC,""
1908,peace,paz,""
1909,peak,pico,""
1910,peer,par,""
1911,penalty,penalty,""
1912,people,pessoas,""
1913,pepper,pimenta,""
1914,per,por,""
1915,perceive,perceber,""
1916,percentage,percentagem,""
1917,perception,"perceção",""
1918,perfect,perfeito,""
1919,perfectly,perfeitamente,""
1920,perform,atuar,""
1921,performance,desempenho,""
1922,perhaps,talvez,""
1923,period,"período",""
1924,permanent,permanente,""
1925,permission,"permissão",""
1926,permit,"autorização",""
1927,person,pessoa,""
1928,personal,pessoal,""
1929,personality,personalidade,""
1930,personally,pessoalmente,""
1931,personnel,pessoal,""
1932,perspective,perspetiva,""
1933,persuade,persuadir,""
1934,pet,"animal de estimação",""
1935,phase,fase,""
1936,phenomenon,"fenómeno",""
1937,philosophy,filosofia,""
1938,phone,telefone,""
1939,photo,fotografia,""
1940,photograph,fotografia,""
1941,photographer,"fotógrafo",""
1942,phrase,frase,""
1943,physical,"físico",""
1944,physically,fisicamente,""
1945,physician,"médico",""
1946,piano,plano,""
1947,pick,escolher,""
1948,picture,imagem,""
1949,pie,tarte,""
1950,piece,"peça",""
1951,pile,pilha,""
1952,pilot,piloto,""
1953,pine,pinheiro,""
1954,pink,cor-de-rosa,""
1955,pipe,tubo,""
1956,pitch,passo,""
1957,place,lugar,""
1958,plan,plano,""
1959,plane,"avião",""
1960,planet,planeta,""
1961,planning,planeamento,""
1962,plant,"fábrica",""
1963,plastic,"plástico",""
1964,plate,placa,""
1965,platform,plataforma,""
1966,play,jogar,""
1967,player,jogador,""
1968,please,"por favor",""
1969,pleasure,prazer,""
1970,plenty,muito,""
1971,plot,trama,""
1972,plus,mais,""
1973,PM,PM,""
1974,pocket,bolso,""
1975,poem,poema,""
1976,poet,poeta,""
1977,poetry,poesia,""
1978,point,ponto,""
1979,pole,"domínio",""
1980,police,"polícia",""
1981,policy,"política","/ˈpɒləsi/"
1982,political,"político","/pəˈlɪtɪkəl/"
1983,politically,politicamente,"pronunciation not found"
1984,politician,"político","/ˈpɒl.ɪ.tɪʃ.ən/"
1985,politics,"política","/ˈpɒl.ɪ.tɪks/"
1986,poll,sondagem,"/pɔl/"
1987,pollution,"poluição","/pəˈl(j)uːʃn̩/"
1988,pool,piscina,/pul/
1989,poor,pobre,"/poː/"
1990,pop,pop,"/pɒp/"
1991,popular,popular,"/ˈpɒpjʊlə/"
1992,population,"população","/ˌpɒpjʊˈleɪʃən/"
1993,porch,alpendre,"/pɔːtʃ/"
1994,port,porto,"/pɔːt/"
1995,portion,"porção",""
1996,portrait,retrato,"/ˈpɔːtɹeɪt/"
1997,portray,retrato,"/pɔɹˈtɹeɪ/"
1998,pose,pose,"/pəʊz/"
1999,position,"posição",""
2000,positive,positivo,"/ˈpɒzɪ̈tɪv/"
2001,possess,possuir,""
2002,possibility,"possível",""
2003,possible,"possível",""
2004,possibly,eventualmente,""
2005,post,posto,""
2006,pot,panela,""
2007,potato,batata,""
2008,potential,potencial,""
2009,potentially,potencialmente,""
2010,pound,libra,""
2011,pour,para,""
2012,poverty,pobreza,""
2013,powder,"pó",""
2014,power,"potência",""
2015,powerful,poderoso,""
2016,practical,"prático",""
2017,practice,"prática",""
2018,pray,rezar,""
2019,prayer,"oração",""
2020,precisely,precisamente,""
2021,predict,prever,""
2022,prefer,preferir,""
2023,preference,"preferência",""
2024,pregnancy,gravidez,""
2025,pregnant,"grávida",""
2026,preparation,"preparação",""
2027,prepare,preparar,""
2028,prescription,"prescrição",""
2029,presence,"presença",""
2030,present,atual,""
2031,presentation,"apresentação",""
2032,preserve,preservar,""
2033,president,presidente,""
2034,presidential,presidencial,""
2035,press,imprensa,""
2036,pressure,"pressão",""
2037,pretend,fingir,""
2038,pretty,bonito,""
2039,prevent,prevenir,""
2040,previous,anterior,""
2041,previously,anteriormente,""
2042,price,"preço",""
2043,pride,vir,""
2044,priest,padre,""
2045,primarily,principalmente,""
2046,primary,"primário",""
2047,prime,principal,""
2048,principal,principal,""
2049,principle,"princípio",""
2050,print,imprimir,""
2051,prior,anterior,""
2052,priority,"prioritário",""
2053,prison,"prisão",""
2054,prisoner,prisioneiro,""
2055,privacy,privacidade,""
2056,private,privado,""
2057,probably,provavelmente,""
2058,problem,problema,""
2059,procedure,procedimento,""
2060,proceed,prosseguir,""
2061,process,processo,""
2062,produce,produzir,""
2063,producer,produtor,""
